epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.24565,2.21481,3.01289,2.13991,0.03188,0.03,0.0115,0.00448,2.3522,5.55108,1.67118,0.1,0,0
2,19.4057,1.83173,2.37894,1.80489,0.02667,0.08,0.01846,0.00776,2.63636,18.9166,1.75338,0.0990099,9.901e-06,9.901e-06
3,28.8639,1.94878,2.32104,1.85706,0.035,0.105,0.02475,0.0108,2.39012,29.9713,1.54264,0.0980196,1.9604e-05,1.9604e-05
4,37.5442,1.79445,2.74418,1.69108,0.05,0.15,0.03984,0.01596,2.30558,27.3433,1.5255,0.0970291,2.9109e-05,2.9109e-05
5,46.9927,1.45858,1.63665,1.49824,0.06667,0.2,0.05844,0.02279,2.15099,21.4546,1.52507,0.0960384,3.8416e-05,3.8416e-05
6,55.5726,1.60844,2.67704,1.79741,0.045,0.135,0.03562,0.01538,2.19014,16.38,1.60854,0.0950475,4.7525e-05,4.7525e-05
7,63.6164,1.50579,1.91762,1.62515,0.03,0.09,0.02034,0.00908,2.44604,14.3273,1.79622,0.0940564,5.6436e-05,5.6436e-05
8,72.3842,1.55515,1.59556,1.44107,0.09057,0.095,0.05163,0.02171,2.22036,11.0441,1.67223,0.0930651,6.5149e-05,6.5149e-05
9,81.4472,1.72812,1.9314,1.57206,0.09057,0.095,0.05163,0.02171,2.22036,11.0441,1.67223,0.0920737,7.3664e-05,7.3664e-05
10,89.7656,1.48016,1.71779,1.61867,0.19172,0.155,0.14544,0.06717,1.98351,7.05497,1.53835,0.091082,8.1981e-05,8.1981e-05
11,99.1849,1.69288,1.83032,1.49751,0.19172,0.155,0.14544,0.06717,1.98351,7.05497,1.53835,0.0900901,9.01e-05,9.01e-05
12,107.17,1.49306,1.79724,1.63543,0.24457,0.14,0.16563,0.07446,1.9155,5.55756,1.48236,0.089098,9.8021e-05,9.8021e-05
13,115.376,1.40802,1.4131,1.32401,0.24457,0.14,0.16563,0.07446,1.9155,5.55756,1.48236,0.0881057,0.000105744,0.000105744
14,124.021,1.44718,1.42132,1.36514,0.31723,0.235,0.24549,0.10983,1.8973,4.78035,1.45196,0.0871133,0.000113269,0.000113269
15,132.413,1.42613,1.33125,1.4672,0.31723,0.235,0.24549,0.10983,1.8973,4.78035,1.45196,0.0861206,0.000120596,0.000120596
16,140.966,1.44509,1.31618,1.40012,0.29613,0.215,0.21017,0.09151,1.88866,4.19211,1.43601,0.0851277,0.000127725,0.000127725
17,149.677,1.42711,1.43798,1.4973,0.29613,0.215,0.21017,0.09151,1.88866,4.19211,1.43601,0.0841347,0.000134656,0.000134656
18,160.057,1.41503,1.23303,1.29109,0.27876,0.235,0.21412,0.09525,1.88818,3.51023,1.43781,0.0831414,0.000141389,0.000141389
19,169.49,1.27457,1.25135,1.29195,0.27876,0.235,0.21412,0.09525,1.88818,3.51023,1.43781,0.0821479,0.000147924,0.000147924
20,179.476,1.46624,1.10018,1.28924,0.24195,0.305,0.23721,0.1089,1.89395,3.15614,1.452,0.0811543,0.000154261,0.000154261
21,188.603,1.28727,1.19315,1.45,0.24195,0.305,0.23721,0.1089,1.89395,3.15614,1.452,0.0801604,0.0001604,0.0001604
22,198.416,1.31483,1.17258,1.34178,0.22046,0.285,0.20914,0.08709,1.92366,2.89386,1.49314,0.0791663,0.000166341,0.000166341
23,207.296,1.29879,1.05397,1.27367,0.22046,0.285,0.20914,0.08709,1.92366,2.89386,1.49314,0.0781721,0.000172084,0.000172084
24,215.926,1.2586,1.11605,1.3375,0.22046,0.285,0.20914,0.08709,1.92366,2.89386,1.49314,0.0771776,0.000177629,0.000177629
25,225.379,1.33576,1.20373,1.36439,0.19686,0.25002,0.18347,0.06837,1.98572,2.66189,1.50754,0.076183,0.000182976,0.000182976
26,235.056,1.24321,0.9768,1.23547,0.19686,0.25002,0.18347,0.06837,1.98572,2.66189,1.50754,0.0751881,0.000188125,0.000188125
27,244.622,1.34934,1.02864,1.26116,0.19686,0.25002,0.18347,0.06837,1.98572,2.66189,1.50754,0.0741931,0.000193076,0.000193076
28,254.124,1.22942,1.04846,1.38582,0.16321,0.255,0.13962,0.05297,2.04571,2.74827,1.49258,0.0731978,0.000197829,0.000197829
29,263.211,1.45295,1.51573,1.59823,0.16321,0.255,0.13962,0.05297,2.04571,2.74827,1.49258,0.0722024,0.000202384,0.000202384
30,271.699,1.16993,0.91346,1.28412,0.16321,0.255,0.13962,0.05297,2.04571,2.74827,1.49258,0.0712067,0.000206741,0.000206741
31,280.725,1.2906,0.90401,1.40224,0.14608,0.22082,0.10694,0.03736,2.20066,3.33512,1.5373,0.0702109,0.0002109,0.0002109
32,290.213,1.20009,0.90434,1.19676,0.14608,0.22082,0.10694,0.03736,2.20066,3.33512,1.5373,0.0692149,0.000214861,0.000214861
33,299.521,1.19978,0.99313,1.15699,0.14608,0.22082,0.10694,0.03736,2.20066,3.33512,1.5373,0.0682186,0.000218624,0.000218624
34,309.451,1.32519,1.11943,1.22908,0.14903,0.235,0.10858,0.03977,2.17369,3.65472,1.49471,0.0672222,0.000222189,0.000222189
