epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.913703,2.78444,3.93074,1.88962,0,0,0,0,3.55099,3.82891,1.52001,0.1,0,0
2,1.49886,2.71928,3.78238,1.71594,0,0,0,0,4.43492,3.74973,2.16945,0.0990099,9.901e-06,9.901e-06
3,2.05526,2.51569,3.57106,1.80985,0,0,0,0,4.23093,3.59681,1.98034,0.0980196,1.9604e-05,1.9604e-05
4,2.5989,2.66889,3.40032,1.73721,0.00167,0.005,0.00084,0.00051,4.16035,3.45527,1.90269,0.0970291,2.9109e-05,2.9109e-05
5,3.1942,2.22424,3.23828,1.48683,0.00167,0.005,0.00084,0.00042,4.23431,3.36881,1.93581,0.0960384,3.8416e-05,3.8416e-05
6,3.67645,2.05947,2.9159,1.50962,0.00167,0.005,0.00084,0.00042,4.46675,3.30555,2.07839,0.0950475,4.7525e-05,4.7525e-05
7,4.23172,1.90926,2.74972,1.36721,0,0,0,0,4.94677,3.32547,2.49316,0.0940564,5.6436e-05,5.6436e-05
8,4.76923,2.13888,2.6362,1.35458,0,0,0,0,5.03736,3.35884,2.72148,0.0930651,6.5149e-05,6.5149e-05
9,5.37811,2.49662,2.61458,1.41372,0,0,0,0,5.03736,3.35884,2.72148,0.0920737,7.3664e-05,7.3664e-05
10,5.86004,1.74469,2.43635,1.3371,0,0,0,0,4.82506,3.25289,2.44494,0.091082,8.1981e-05,8.1981e-05
11,6.4777,2.38881,2.40455,1.36958,0,0,0,0,4.82506,3.25289,2.44494,0.0900901,9.01e-05,9.01e-05
12,7.02769,1.87037,2.37899,1.44672,0,0,0,0,4.4945,3.12111,2.06096,0.089098,9.8021e-05,9.8021e-05
13,7.55542,1.90843,2.19424,1.24717,0,0,0,0,4.4945,3.12111,2.06096,0.0881057,0.000105744,0.000105744
14,8.09383,2.06172,2.18261,1.29111,0,0,0,0,3.91142,2.88937,1.66908,0.0871133,0.000113269,0.000113269
15,8.64867,1.7551,2.00396,1.26526,0,0,0,0,3.91142,2.88937,1.66908,0.0861206,0.000120596,0.000120596
16,9.17153,1.88011,2.01584,1.29024,0.00167,0.005,0.00084,8e-05,3.55842,2.76292,1.47038,0.0851277,0.000127725,0.000127725
17,9.71289,1.78681,1.73068,1.25864,0.00167,0.005,0.00084,8e-05,3.55842,2.76292,1.47038,0.0841347,0.000134656,0.000134656
