epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.00915,2.76821,11.3877,2.09994,0.00136,0.10109,0.00948,0.00278,2.17961,11.4755,1.61074,3.334e-05,3.334e-05,3.334e-05
2,18.3013,2.86591,11.1853,2.12652,0.00139,0.10109,0.02013,0.00598,2.10612,11.3843,1.5494,8.29374e-05,8.29374e-05,8.29374e-05
3,26.688,2.85052,11.5896,1.78334,0.00141,0.10109,0.02015,0.00602,2.04785,11.2645,1.49061,0.00013204,0.00013204,0.00013204
4,34.239,2.50564,11.1656,1.96581,0.00301,0.10438,0.02095,0.00422,1.99219,11.1028,1.42534,0.000180647,0.000180647,0.000180647
5,42.6938,2.7793,10.8912,1.74875,0.00301,0.10438,0.01772,0.00523,1.89797,11.0572,1.38655,0.000228759,0.000228759,0.000228759
6,50.3597,2.67772,10.4761,1.5321,0.00301,0.10438,0.01123,0.00321,1.8285,11.0107,1.36165,0.000276376,0.000276376,0.000276376
7,58.636,2.32479,10.0853,1.72502,0.00249,0.10328,0.00734,0.00226,1.81822,11.0078,1.38339,0.000323498,0.000323498,0.000323498
8,64.5718,2.24137,9.54016,1.77344,0.00249,0.10328,0.02072,0.00834,1.8387,10.9667,1.44434,0.000370125,0.000370125,0.000370125
9,72.4293,2.1192,8.74665,1.49112,0.00249,0.10328,0.02072,0.00834,1.8387,10.9667,1.44434,0.000416257,0.000416257,0.000416257
10,80.6885,2.13818,8.77552,1.54434,0.00302,0.10438,0.034,0.01354,1.9329,10.6682,1.53072,0.000461893,0.000461893,0.000461893
11,89.3453,2.39808,8.22739,1.47477,0.00302,0.10438,0.034,0.01354,1.9329,10.6682,1.53072,0.000507035,0.000507035,0.000507035
12,98.0701,2.18266,8.25391,1.41391,0.08919,0.31554,0.17147,0.05324,1.98994,9.72679,1.52816,0.000551681,0.000551681,0.000551681
13,105.705,2.10143,7.39635,1.35171,0.08919,0.31554,0.17147,0.05324,1.98994,9.72679,1.52816,0.000595832,0.000595832,0.000595832
14,114.563,2.3288,8.09909,1.53979,0.77566,0.19359,0.21589,0.08274,2.10326,8.15926,1.53309,0.000639489,0.000639489,0.000639489
15,122.687,2.36266,7.44514,1.55352,0.77566,0.19359,0.21589,0.08274,2.10326,8.15926,1.53309,0.00068265,0.00068265,0.00068265
16,132.379,2.30521,7.12202,1.36198,0.77566,0.19359,0.21589,0.08274,2.10326,8.15926,1.53309,0.000725316,0.000725316,0.000725316
17,139.943,2.23491,6.91436,1.53153,0.80238,0.21116,0.24252,0.10263,2.14784,6.4564,1.48151,0.000767487,0.000767487,0.000767487
18,147.158,2.30293,5.91498,1.3598,0.80238,0.21116,0.24252,0.10263,2.14784,6.4564,1.48151,0.000809163,0.000809163,0.000809163
19,155.049,2.25057,6.6765,1.31644,0.80238,0.21116,0.24252,0.10263,2.14784,6.4564,1.48151,0.000850343,0.000850343,0.000850343
20,162.614,2.17971,6.40887,1.33097,0.82538,0.24945,0.26051,0.0966,2.23981,6.38805,1.51784,0.000891029,0.000891029,0.000891029
21,172.483,2.17636,5.89845,1.27582,0.82538,0.24945,0.26051,0.0966,2.23981,6.38805,1.51784,0.00093122,0.00093122,0.00093122
22,181.354,2.28609,6.21675,1.3622,0.82538,0.24945,0.26051,0.0966,2.23981,6.38805,1.51784,0.000970915,0.000970915,0.000970915
23,191.082,2.84765,6.59693,1.43257,0.82538,0.24945,0.26051,0.0966,2.23981,6.38805,1.51784,0.00101012,0.00101012,0.00101012
