epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,122.474,2.52833,2.61844,1.30588,0.89666,0.28993,0.33533,0.13962,2.22146,2.06003,1.10904,0.000990365,0.000990365,0.000990365
43,125.575,2.84871,2.79769,1.26122,0.89666,0.28993,0.33533,0.13962,2.22146,2.06003,1.10904,0.000973861,0.000973861,0.000973861
44,128.908,2.30412,2.65207,1.18249,0.89666,0.28993,0.33533,0.13962,2.22146,2.06003,1.10904,0.000957358,0.000957358,0.000957358
45,131.88,2.4904,2.61599,1.16536,0.9009,0.29214,0.34154,0.15246,2.17147,1.94602,1.0978,0.000940855,0.000940855,0.000940855
46,134.936,2.87231,2.78965,1.25702,0.9009,0.29214,0.34154,0.15246,2.17147,1.94602,1.0978,0.000924352,0.000924352,0.000924352
47,137.809,2.42105,2.51803,1.22309,0.9009,0.29214,0.34154,0.15246,2.17147,1.94602,1.0978,0.000907848,0.000907848,0.000907848
48,141.175,2.63985,2.51641,1.38857,0.9009,0.29214,0.34154,0.15246,2.17147,1.94602,1.0978,0.000891345,0.000891345,0.000891345
49,143.986,2.3048,2.50644,1.14121,0.9009,0.29214,0.34154,0.15246,2.17147,1.94602,1.0978,0.000874842,0.000874842,0.000874842
50,146.989,2.67858,2.3975,1.16994,0.83297,0.28009,0.30448,0.10799,2.30949,1.94852,1.14114,0.000858338,0.000858338,0.000858338
51,149.754,2.32396,2.46706,1.18707,0.83297,0.28009,0.30448,0.10799,2.30949,1.94852,1.14114,0.000841835,0.000841835,0.000841835
52,152.976,2.38943,2.57276,1.1517,0.83297,0.28009,0.30448,0.10799,2.30949,1.94852,1.14114,0.000825332,0.000825332,0.000825332
53,156.214,2.49468,2.54468,1.23887,0.83297,0.28009,0.30448,0.10799,2.30949,1.94852,1.14114,0.000808828,0.000808828,0.000808828
54,159.169,2.55182,2.45389,1.18281,0.83297,0.28009,0.30448,0.10799,2.30949,1.94852,1.14114,0.000792325,0.000792325,0.000792325
55,162.766,2.35064,2.42751,1.13632,0.83297,0.28009,0.30448,0.10799,2.30949,1.94852,1.14114,0.000775822,0.000775822,0.000775822
56,165.937,2.32366,2.40064,1.22001,0.76818,0.24836,0.25515,0.07919,2.41554,2.09257,1.19553,0.000759318,0.000759318,0.000759318
57,169.5,2.43455,2.5558,1.2196,0.76818,0.24836,0.25515,0.07919,2.41554,2.09257,1.19553,0.000742815,0.000742815,0.000742815
58,172.469,2.58641,2.32174,1.19223,0.76818,0.24836,0.25515,0.07919,2.41554,2.09257,1.19553,0.000726312,0.000726312,0.000726312
59,175.304,2.64445,2.10595,1.32166,0.76818,0.24836,0.25515,0.07919,2.41554,2.09257,1.19553,0.000709809,0.000709809,0.000709809
60,178.125,2.30914,2.23609,1.21301,0.76818,0.24836,0.25515,0.07919,2.41554,2.09257,1.19553,0.000693305,0.000693305,0.000693305
61,181.203,2.55602,2.44494,1.20304,0.76599,0.21663,0.23114,0.06733,2.46188,2.15623,1.23213,0.000676802,0.000676802,0.000676802
62,184.216,2.99653,2.31175,1.20434,0.76599,0.21663,0.23114,0.06733,2.46188,2.15623,1.23213,0.000660299,0.000660299,0.000660299
63,187.047,2.50403,2.24989,1.25486,0.76599,0.21663,0.23114,0.06733,2.46188,2.15623,1.23213,0.000643795,0.000643795,0.000643795
64,190.032,2.50068,2.45954,1.22028,0.76599,0.21663,0.23114,0.06733,2.46188,2.15623,1.23213,0.000627292,0.000627292,0.000627292
65,192.88,2.69068,2.2532,1.18182,0.76599,0.21663,0.23114,0.06733,2.46188,2.15623,1.23213,0.000610789,0.000610789,0.000610789
